Date,Action,Ticker,Shares,Price,Total Value
2018-09-21,BUY,NAUKRI.NS,361,298.29,107695.16
2018-09-21,BUY,WIPRO.NS,938,115.08,107958.43
2018-09-28,SELL,WELCORP.NS,765,107.26,82047.13
2018-09-28,SELL,NAUKRI.NS,361,277.26,100082.13
2018-09-28,SELL,GOLDBEES.NS,227,27.03,6134.74
2018-09-28,BUY,LTTS.NS,63,1594.23,100446.26
2018-09-28,BUY,RELIANCE.NS,180,559.39,100700.28
2018-10-05,SELL,DCMSHRIRAM.NS,260,331.03,86060.33
2018-10-05,SELL,LTTS.NS,63,1423.81,89690.9
2018-10-05,SELL,RELIANCE.NS,180,466.41,83944.81
2018-10-05,SELL,GOLDBEES.NS,342,27.88,9534.52
2018-10-05,BUY,AUROPHARMA.NS,133,712.45,94764.78
2018-10-05,BUY,IDBI.NS,1749,54.32,95019.36
2018-10-05,BUY,ABB.NS,78,1210.21,94405.75
2018-10-12,SELL,IDBI.NS,1749,55.88,97731.21
2018-10-12,SELL,ABB.NS,78,1152.11,89855.48
2018-10-12,SELL,GOLDBEES.NS,59,28.14,1660.21
2018-10-12,BUY,ADANIPOWER.NS,14497,6.51,94384.91
2018-10-12,BUY,BALRAMCHIN.NS,1081,87.24,94315.97
2018-10-26,SELL,AUROPHARMA.NS,133,689.04,91633.23
2018-10-26,BUY,GOLDBEES.NS,20,28.5,570.1
2018-10-26,BUY,ADANIENT.NS,583,164.69,96023.26
2018-11-02,BUY,GOLDBEES.NS,424,28.2,11960.12
2018-11-09,BUY,GOLDBEES.NS,28,28.01,784.29
2018-11-16,SELL,GOLDBEES.NS,4065,27.51,111823.06
2018-11-23,SELL,WIPRO.NS,938,105.44,98888.45
2018-11-23,BUY,LINDEINDIA.NS,164,627.65,102945.41
2018-11-30,SELL,BALRAMCHIN.NS,1081,92.55,100033.07
2018-11-30,BUY,JWL.NS,5794,18.27,105852.39
2018-12-07,SELL,ADANIENT.NS,583,151.01,88030.1
2018-12-07,SELL,JWL.NS,5794,18.86,109282.23
2018-12-07,BUY,NEWGEN.NS,687,152.25,104608.26
2018-12-07,BUY,INDIGO.NS,103,1016.14,104673.28
2018-12-21,SELL,DIVISLAB.NS,81,1405.11,113802.65
2018-12-21,SELL,ADANIPOWER.NS,14497,10.07,145970.19
2018-12-21,BUY,JWL.NS,3858,27.15,104766.86
2018-12-21,BUY,BEML.NS,296,353.65,104690.7
2018-12-28,SELL,NEWGEN.NS,687,140.1,96238.52
2018-12-28,BUY,GOLDBEES.NS,4044,28.15,113847.96
2018-12-28,BUY,PFC.NS,2000,53.12,106242.18
2019-01-04,SELL,GOLDBEES.NS,88,28.3,2489.98
2019-01-11,SELL,INDIGO.NS,103,1052.37,108383.16
2019-01-11,SELL,JWL.NS,3858,24.47,94405.35
2019-01-11,SELL,GOLDBEES.NS,21,28.53,599.15
2019-01-11,BUY,KAJARIACER.NS,212,493.41,104612.53
2019-01-11,BUY,CREDITACC.NS,255,410.35,104648.73
2019-01-18,SELL,LINDEINDIA.NS,164,595.97,97728.84
2019-01-18,SELL,GOLDBEES.NS,167,28.65,4783.74
2019-01-18,BUY,UNIONBANK.NS,1261,79.89,100748.59
2019-01-25,SELL,PFC.NS,2000,52.16,104300.65
2019-01-25,SELL,UNIONBANK.NS,1261,68.62,86517.56
2019-01-25,SELL,GOLDBEES.NS,147,28.67,4214.0
2019-01-25,BUY,ITI.NS,922,105.0,96819.68
2019-01-25,BUY,MUTHOOTFIN.NS,207,467.73,96829.3
2019-02-01,SELL,BEML.NS,296,318.48,94261.18
2019-02-01,SELL,ITI.NS,922,99.55,91775.92
2019-02-01,SELL,MUTHOOTFIN.NS,207,431.02,89211.85
2019-02-01,SELL,GOLDBEES.NS,134,29.47,3948.25
2019-02-01,BUY,JUBLFOOD.NS,359,266.85,95809.72
2019-02-01,BUY,GVT&D.NS,326,293.45,95675.08
2019-02-01,BUY,IDFCFIRSTB.NS,2148,44.65,95926.05
2019-02-08,SELL,CREDITACC.NS,255,365.6,93218.91
2019-02-08,SELL,GOLDBEES.NS,61,29.21,1781.88
2019-02-08,BUY,NAUKRI.NS,270,345.39,93265.82
2019-02-15,SELL,JUBLFOOD.NS,359,255.63,91762.7
2019-02-15,SELL,GVT&D.NS,326,280.69,91496.97
2019-02-15,SELL,GOLDBEES.NS,95,29.47,2799.08
2019-02-15,BUY,AAVAS.NS,102,897.45,91549.06
2019-02-15,BUY,BATAINDIA.NS,78,1171.81,91410.61
2019-02-22,SELL,KAJARIACER.NS,212,484.49,102702.05
2019-02-22,SELL,NAUKRI.NS,270,321.26,86731.49
2019-02-22,BUY,GOLDBEES.NS,77,29.5,2272.11
2019-02-22,BUY,YESBANK.NS,428,219.0,93739.64
2019-02-22,BUY,MANAPPURAM.NS,944,99.39,93830.62
2019-03-01,BUY,GOLDBEES.NS,133,29.07,3867.23
2019-03-08,SELL,GOLDBEES.NS,3541,28.47,100796.88
2019-03-29,SELL,AAVAS.NS,102,1096.8,111862.42
2019-03-29,BUY,J&KBANK.NS,2019,51.2,103385.2
2019-04-05,SELL,IDFCFIRSTB.NS,2148,54.02,116030.18
2019-04-05,BUY,CREDITACC.NS,190,542.3,103047.25
2019-04-12,SELL,BATAINDIA.NS,78,1314.98,102558.27
2019-04-12,BUY,CGCL.NS,598,175.67,105059.27
2019-04-26,SELL,YESBANK.NS,428,233.99,100137.81
2019-04-26,SELL,MANAPPURAM.NS,944,104.98,99088.22
2019-04-26,BUY,JPPOWER.NS,34010,2.95,100339.53
2019-04-26,BUY,BANDHANBNK.NS,172,580.87,99920.16
2019-05-10,SELL,J&KBANK.NS,2019,51.73,104425.16
2019-05-10,SELL,CREDITACC.NS,190,479.94,91180.29
2019-05-10,SELL,CGCL.NS,598,159.17,95171.54
2019-05-10,BUY,AAVAS.NS,70,1398.4,97897.79
2019-05-10,BUY,DCMSHRIRAM.NS,212,464.07,98391.68
2019-05-10,BUY,NAM-INDIA.NS,616,159.81,98449.8
2019-05-17,SELL,JPPOWER.NS,34010,2.65,90117.49
2019-05-17,SELL,BANDHANBNK.NS,172,543.21,93422.23
2019-05-17,BUY,GOLDBEES.NS,3708,28.26,104815.25
2019-05-17,BUY,POONAWALLA.NS,784,124.77,97828.11
2019-05-17,BUY,GRSE.NS,1004,97.38,97775.49
2019-05-24,SELL,GOLDBEES.NS,3708,27.99,103785.81
2019-05-31,SELL,NAM-INDIA.NS,616,183.65,113115.05
2019-05-31,SELL,POONAWALLA.NS,784,128.39,100649.14
2019-05-31,BUY,GOLDBEES.NS,3740,28.38,106159.29
2019-05-31,BUY,ATGL.NS,604,163.89,98999.48
2019-05-31,BUY,KEI.NS,192,515.83,99049.48
2019-06-07,SELL,AAVAS.NS,70,1413.8,98956.11
2019-06-07,SELL,DCMSHRIRAM.NS,212,474.65,100616.1
2019-06-07,SELL,GOLDBEES.NS,118,28.91,3410.63
2019-06-07,BUY,TTML.NS,20844,4.69,97738.48
2019-06-07,BUY,CGCL.NS,574,170.1,97649.2
2019-06-14,SELL,GRSE.NS,1004,98.76,99142.85
2019-06-14,SELL,KEI.NS,192,457.06,87745.91
2019-06-14,SELL,TTML.NS,20844,3.73,77776.3
2019-06-14,SELL,CGCL.NS,574,157.37,90323.69
2019-06-14,SELL,GOLDBEES.NS,181,29.24,5292.27
2019-06-14,BUY,INTELLECT.NS,347,270.18,93760.5
2019-06-14,BUY,GODREJPROP.NS,102,916.1,93451.54
2019-06-14,BUY,HDFCAMC.NS,108,866.19,93557.87
2019-06-14,BUY,INDIGO.NS,57,1637.99,93374.85
2019-06-21,SELL,ATGL.NS,604,158.52,95737.38
2019-06-21,SELL,INDIGO.NS,57,1544.64,88035.79
2019-06-21,SELL,GOLDBEES.NS,132,29.76,3928.59
