,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
HDFCLIFE,0,1235,1236 days,10000,6117.188805,-38.82811195,29.02668326,100,0,45.45131125,1028 days,5,4,1,-494.4713962,0,-3.994651789,-17.94915254,,-9.674045003,,79 days 06:00:00,0,-847.0849497,-0.828885398,-0.297235516,0.802938107,-1.108614968
HFCL,0,1235,1236 days,10000,10878.08364,8.780836389,343.6720143,100,0,43.29036441,517 days,3,3,0,0,66.66666667,37.31071228,-21.52929735,19.13432054,-21.52929735,208 days 12:00:00,82 days 00:00:00,1.403985332,292.6945463,0.261640112,0.058133027,1.062511534,0.379981805
HAPPSTMNDS,0,1235,1236 days,10000,7931.410383,-20.68589617,57.43214524,100,0,23.52216588,718 days,2,2,0,0,0,-5.78100512,-15.81941207,,-10.8002086,,46 days 00:00:00,0,-1034.294809,-0.94658095,-0.281221295,0.598834593,-1.117028312
HAVELLS,0,1235,1236 days,10000,11278.26628,12.78266279,98.6809998,100,0,31.8824325,638 days,3,3,0,0,33.33333333,36.96934055,-13.65820955,36.96934055,-9.145625868,356 days 00:00:00,84 days 12:00:00,1.723883169,426.0887598,0.276843577,0.113422156,1.063700522,0.380970111
HEROMOTOCO,0,1235,1236 days,10000,18052.64736,80.52647359,131.1457958,100,0,26.99195,274 days,3,2,1,3204.958664,50,68.93692219,-12.11105007,68.93692219,-12.11105007,363 days 00:00:00,131 days 00:00:00,5.002698914,2423.844348,0.985632756,0.706060882,1.2272302,1.571942535
HEXT,0,170,171 days,10000,10000,0,-6.044879663,0,0,,,0,0,0,0,,,,,,,,,,,,,
HSCL,0,1235,1236 days,10000,44735.53802,347.3553802,973.7958462,100,0,40.29335893,268 days,3,3,0,0,66.66666667,243.0269164,-12.02340125,145.6320744,-12.02340125,345 days 00:00:00,62 days 00:00:00,29.88994328,11578.51267,1.247893154,1.381062636,1.268552414,2.114057049
HINDALCO,0,1235,1236 days,10000,12213.18053,22.1318053,422.6955519,100,0,41.27728705,886 days,3,2,1,2755.002005,50,21.12767864,-21.9156296,21.12767864,-21.9156296,318 days 00:00:00,68 days 00:00:00,0.752769378,-270.9107374,0.367978332,0.147341907,1.098169009,0.512342007
HAL,0,1235,1236 days,10000,74780.94516,647.8094516,1428.816123,100,0,28.94974502,327 days,1,1,0,0,100,647.8094516,647.8094516,647.8094516,,820 days 00:00:00,,,64780.94516,1.920174245,2.803113802,1.42010934,3.001348103
HINDCOPPER,0,1235,1236 days,10000,29012.37563,190.1237563,1004.311985,100,0,34.88974539,345 days,4,3,1,7603.358161,66.66666667,140.8229426,-17.38903848,74.21753299,-17.38903848,173 days 12:00:00,60 days 00:00:00,7.096933749,3803.005823,1.031209837,1.059432339,1.292973515,1.630992872
HINDPETRO,0,1235,1236 days,10000,19951.41031,99.51410309,366.2621603,100,0,30.35788598,501 days,3,2,1,3965.734931,50,106.6136853,-22.63012321,106.6136853,-22.63012321,474 days 00:00:00,97 days 00:00:00,3.645003442,2992.837689,0.787149584,0.745326253,1.170264086,1.154597018
HINDUNILVR,0,1235,1236 days,10000,6459.01067,-35.4098933,28.59841925,100,0,35.4098933,997 days,6,5,1,-134.961412,0,-3.407113979,-13.77961051,,-7.897495916,,72 days 09:36:00,0,-681.2055835,-0.884317642,-0.341988286,0.801730355,-1.152402963
HINDZINC,0,1235,1236 days,10000,17383.17219,73.83172192,253.699178,100,0,39.1617106,359 days,3,2,1,-176.5250945,50,95.41177987,-10.14002688,95.41177987,-10.14002688,520 days 00:00:00,152 days 00:00:00,8.455303006,3779.848643,0.640377501,0.452909444,1.163274084,1.122972783
POWERINDIA,0,1235,1236 days,10000,52040.1061,420.401061,1822.120517,100,0,40.30599896,439 days,3,2,1,3490.572778,100,258.066935,35.5878708,146.8274029,,375 days 00:00:00,,,19274.76666,1.259008872,1.557016844,1.248314312,2.106423349
HOMEFIRST,0,1171,1172 days,10000,8017.763722,-19.82236278,131.7257765,100,0,34.76798899,782 days,4,3,1,-433.5718103,0,-0.132330408,-8.628640547,,-5.381349773,,181 days 16:00:00,0,-516.2214892,-0.039556115,-0.191239134,0.992823388,-0.057658548
HONASA,0,488,489 days,10000,5723.770907,-42.76229093,-17.44289528,100,0,47.90236213,283 days,2,1,1,-140.8833299,0,-41.35345763,-41.35345763,,-41.35345763,,52 days 00:00:00,0,-4135.345763,-1.565511692,-0.711093269,0.554205285,-1.728854543
HONAUT,0,1235,1236 days,10000,5864.729124,-41.35270876,33.45321319,100,0,41.97715346,981 days,5,5,0,0,0,-2.977427455,-13.31280125,,-10.04377027,,71 days 14:24:00,0,-827.0541753,-0.812214022,-0.347320877,0.791509617,-1.153296035
HUDCO,0,1235,1236 days,10000,61816.20187,518.1620187,877.7324633,100,0,42.71256287,324 days,2,1,1,-56.72630521,100,518.7292818,518.7292818,518.7292818,,531 days 00:00:00,,,51872.92818,1.426073202,1.668015065,1.414188592,2.506973435
HYUNDAI,0,254,255 days,10000,9959.973591,-0.400264092,33.93446716,100,0,19.31441996,27 days,1,0,1,-40.02640918,,,,,,,,,,0.054371891,-0.029637548,1.016506481,0.083542514
ICICIBANK,0,1235,1236 days,10000,13323.77345,33.23773453,237.4365325,100,0,22.33027545,573 days,3,2,1,4098.742434,50,3.854738796,-11.17371122,3.854738796,-11.17371122,40 days 00:00:00,122 days 00:00:00,0.306435467,-387.4844903,0.560241813,0.396041409,1.11608505,0.801342646
ICICIGI,0,1235,1236 days,10000,12937.57462,29.37574621,70.77617053,100,0,23.28955219,587 days,3,2,1,-125.1940467,50,44.07707141,-9.334854323,44.07707141,-9.334854323,369 days 00:00:00,75 days 00:00:00,4.281003175,1531.384334,0.511365084,0.339309665,1.117461242,0.805770827
ICICIPRULI,0,1235,1236 days,10000,8500.744629,-14.99255371,50.00249838,100,0,35.04624055,1024 days,5,5,0,0,20,10.52081701,-11.42487047,10.52081701,-6.264326251,185 days 00:00:00,61 days 18:00:00,0.352372241,-299.8510742,-0.176304294,-0.133637533,0.959534401,-0.257536027
IDBI,0,1235,1236 days,10000,22257.72602,122.5772602,183.7681159,100,0,34.55621302,444 days,3,2,1,709.3371316,100,95.13399154,10.42867887,52.7813352,,325 days 12:00:00,,,5774.194444,0.767884534,0.771278673,1.161432931,1.237000795
IDFCFIRSTB,0,1235,1236 days,10000,15752.3303,57.52330296,161.7910448,100,0,28.28119936,530 days,2,1,1,387.1724411,100,53.65157855,53.65157855,53.65157855,,360 days 00:00:00,,,5365.157855,0.779509924,0.507788024,1.205209526,1.199402535
IFCI,0,1235,1236 days,10000,23588.99655,135.8899655,894.6551724,100,0,58.18759615,487 days,4,3,1,-2134.417785,33.33333333,290.9505703,-26.08695652,290.9505703,-18.53367434,372 days 00:00:00,107 days 00:00:00,5.597099955,5241.138113,0.724147376,0.495705394,1.164888203,1.288727941
IIFL,0,1235,1236 days,10000,14565.87507,45.65875068,636.4377974,100,0,51.35639999,503 days,2,1,1,1800.397555,100,27.65477512,27.65477512,27.65477512,,619 days 00:00:00,,,2765.477512,0.480972242,0.228728043,1.099153954,0.678945025
INOXINDIA,0,458,459 days,10000,10000,0,29.02538309,0,0,,,0,0,0,0,,,,,,,,,,,,,
IRB,0,1235,1236 days,10000,17947.17511,79.47175106,302.6173285,100,0,44.93154386,484 days,4,4,0,0,50,70.19848219,-2.298402805,39.73692226,-1.765174215,219 days 00:00:00,85 days 12:00:00,21.76683196,1986.793776,0.604297213,0.419574314,1.142842835,0.964386306
IRCON,0,1235,1236 days,10000,46826.29967,368.2629967,450.304,100,0,38.35047168,323 days,2,2,0,0,50,477.5747948,-18.92599869,477.5747948,-18.92599869,491 days 00:00:00,94 days 00:00:00,20.4580483,18413.14984,1.265103508,1.506144699,1.331766566,2.081177598
ITCHOTELS,0,186,187 days,10000,10000,0,26.95955775,0,0,,,0,0,0,0,,,,,,,,,,,,,
ITC,0,1235,1236 days,10000,17463.98947,74.63989467,206.7316144,100,0,25.45482355,562 days,2,2,0,0,50,96.45336553,-11.10363816,96.45336553,-11.10363816,606 days 00:00:00,125 days 00:00:00,4.421733989,3731.994733,0.95117498,0.703131536,1.1924757,1.380247346
ITI,0,1235,1236 days,10000,14849.6548,48.49654798,182.2117445,100,0,55.67190227,262 days,4,3,1,-383.4206129,33.33333333,156.8397291,-29.74683544,156.8397291,-22.66204251,287 days 00:00:00,90 days 00:00:00,1.65350005,1744.35847,0.474369042,0.22246768,1.143669911,0.873821567
INDGN,0,365,366 days,10000,10000,0,-2.977205223,0,0,,,0,0,0,0,,,,,,,,,,,,,
INDIACEM,0,1235,1236 days,10000,6348.127578,-36.51872422,246.6805339,100,0,61.09908954,936 days,5,4,1,461.0327654,25,2.155272306,-27.41904726,2.155272306,-16.2614253,158 days 00:00:00,150 days 08:00:00,0.035033153,-1028.226297,-0.183043085,-0.20553594,0.962582546,-0.258978841
INDIAMART,0,1235,1236 days,10000,6746.961469,-32.53038531,8.228921524,100,0,47.46034786,529 days,4,3,1,-743.1055716,33.33333333,15.99786179,-21.99472522,15.99786179,-19.60866559,232 days 00:00:00,71 days 00:00:00,0.345381902,-836.6443199,-0.381490465,-0.231148894,0.906742853,-0.501740376
INDIANB,0,1235,1236 days,10000,49330.42733,393.3042733,1572.568969,100,0,30.08270364,290 days,3,2,1,14922.90871,50,259.7446568,-4.355720174,259.7446568,-4.355720174,766 days 00:00:00,51 days 00:00:00,16.57647942,12203.75931,1.368026553,2.001388676,1.264586531,2.162467186
IEX,0,1235,1236 days,10000,8858.986673,-11.41013327,147.6708075,100,0,58.70533395,961 days,4,4,0,0,50,28.21927625,-32.63102575,20.58139233,-20.91303846,215 days 12:00:00,35 days 12:00:00,0.791403201,-285.2533317,0.09527091,-0.059866542,1.024178249,0.125807417
INDHOTEL,0,1235,1236 days,10000,52104.96968,421.0496968,749.7506234,100,0,22.91685474,208 days,1,1,0,0,100,421.0496968,421.0496968,421.0496968,,948 days 00:00:00,,,42104.96968,1.538153115,2.741082957,1.286723099,2.419975486
IOC,0,1235,1236 days,10000,17341.54412,73.41544116,352.5601993,100,0,24.93741322,426 days,3,2,1,44.54436138,50,88.48225383,-8.230088496,88.48225383,-8.230088496,450 days 00:00:00,71 days 00:00:00,9.866247013,3648.499877,0.801643741,0.707907299,1.202092223,1.163871769
IOB,0,1235,1236 days,10000,23272.59837,132.7259837,337.4863388,100,0,39.28057554,427 days,2,2,0,0,50,152.1198157,-7.692307692,152.1198157,-7.692307692,473 days 00:00:00,98 days 00:00:00,18.25437788,6636.299185,0.785343624,0.721250407,1.207472835,1.36759943
IRCTC,0,1235,1236 days,10000,13803.78301,38.03783009,188.9598794,100,0,49.50774243,998 days,3,3,0,0,66.66666667,30.94885758,-6.907811358,22.09225268,-6.907811358,211 days 12:00:00,26 days 00:00:00,5.86286369,1267.92767,0.46272946,0.201731812,1.135153869,0.650869018
IRFC,0,1174,1175 days,10000,61578.73964,515.7873964,494.1994247,100,0,38.55760561,323 days,2,2,0,0,50,564.1643059,-7.283876757,564.1643059,-7.283876757,489 days 00:00:00,14 days 00:00:00,11.6618509,25789.36982,1.510921306,1.96807987,1.485684022,2.841080594
IREDA,0,474,475 days,10000,10000,0,156.2333333,0,0,,,0,0,0,0,,,,,,,,,,,,,
IGL,0,1235,1236 days,10000,6795.496168,-32.04503832,14.58153114,100,0,46.17412516,612 days,3,2,1,-262.6108319,0,-6.864037311,-24.21716815,,-15.54060273,,208 days 12:00:00,0,-1470.9465,-0.35395303,-0.233502153,0.909825848,-0.439148314
INDUSTOWER,0,1235,1236 days,10000,14809.54144,48.09541438,131.822474,100,0,33.75781282,559 days,3,3,0,0,33.33333333,91.51595745,-16.93081058,91.51595745,-11.92108667,306 days 00:00:00,80 days 00:00:00,2.722235789,1603.180479,0.556090032,0.364225678,1.14266343,0.802353453
INDUSINDBK,0,1235,1236 days,10000,7162.941746,-28.37058254,31.99571523,100,0,40.61078999,988 days,3,3,0,0,33.33333333,2.804210946,-21.7119949,2.804210946,-16.35648091,208 days 00:00:00,105 days 12:00:00,0.06443154,-945.6860848,-0.370839168,-0.231058596,0.912238123,-0.492982461
NAUKRI,0,1235,1236 days,10000,9564.519114,-4.354808856,98.0907946,100,0,42.26659865,682 days,2,2,0,0,50,45.56678403,-34.29463199,45.56678403,-34.29463199,430 days 00:00:00,97 days 00:00:00,0.87301777,-217.7404428,0.075888023,-0.030904856,1.01670898,0.108353442
INFY,0,1235,1236 days,10000,8719.8374,-12.801626,58.24655445,100,0,25.43958486,935 days,3,3,0,0,33.33333333,2.967997053,-11.28243085,2.967997053,-7.913956523,145 days 00:00:00,156 days 12:00:00,0.170597709,-426.7208666,-0.130516032,-0.155840833,0.970018398,-0.182547749
INOXWIND,0,1235,1236 days,10000,20792.2258,107.922258,1560.193133,100,0,56.38900811,497 days,3,3,0,0,33.33333333,253.5131123,-37.69893034,253.5131123,-21.6464265,395 days 00:00:00,117 days 12:00:00,3.620489695,3597.408601,0.689669399,0.427929255,1.15017827,1.130665535
INTELLECT,0,1235,1236 days,10000,12887.78918,28.87789183,347.0615871,100,0,41.26828249,453 days,4,3,1,727.0350621,33.33333333,46.27563994,-10.05990714,46.27563994,-8.812589408,324 days 00:00:00,47 days 00:00:00,2.281273012,720.2513735,0.394513475,0.188512458,1.102239593,0.609297341
INDIGO,0,1235,1236 days,10000,18011.30664,80.1130664,337.3601021,100,0,32.38039154,511 days,4,3,1,1990.241519,33.33333333,90.95617283,-12.74796451,90.95617283,-8.295348174,403 days 00:00:00,98 days 12:00:00,4.739600083,2007.021707,0.745242197,0.586076336,1.156097419,1.080994338
IGIL,0,213,214 days,10000,10000,0,-26.93317268,0,0,,,0,0,0,0,,,,,,,,,,,,,
IKS,0,214,215 days,10000,10000,0,-20.0805773,0,0,,,0,0,0,0,,,,,,,,,,,,,
IPCALAB,0,1235,1236 days,10000,12015.50469,20.1550469,14.04478972,100,0,27.30914048,593 days,2,2,0,0,50,54.71408496,-22.33735737,54.71408496,-22.33735737,375 days 00:00:00,74 days 00:00:00,1.902302209,1007.752345,0.364634254,0.204031243,1.086861332,0.548856459
JBCHEPHARM,0,1235,1236 days,10000,16687.96593,66.8796593,258.8417135,100,0,24.70037867,441 days,2,2,0,0,50,95.93674752,-14.82983084,95.93674752,-14.82983084,571 days 00:00:00,116 days 00:00:00,5.509805945,3343.982965,0.706883192,0.660967883,1.144146342,1.128580701
JKCEMENT,0,1235,1236 days,10000,16471.28785,64.71287848,252.7693994,100,0,45.62613331,699 days,2,1,1,9072.750877,0,-26.01463029,-26.01463029,,-26.01463029,,135 days 00:00:00,0,-2601.463029,0.654191208,0.348003893,1.115676227,0.954994347
JBMA,0,1235,1236 days,10000,72246.88546,622.4688546,1335.997469,100,0,43.27806201,419 days,2,2,0,0,100,212.5201406,131.1751342,171.8476374,,319 days 12:00:00,,,31123.44273,1.469684169,1.832674768,1.356283862,2.748356329
JKTYRE,0,1235,1236 days,10000,25047.66317,150.4766317,591.1251981,100,0,30.46902085,420 days,4,3,1,6208.787867,33.33333333,137.4772934,-18.12461059,137.4772934,-10.61724432,332 days 00:00:00,101 days 00:00:00,5.276012628,2946.291768,0.92967929,1.022257036,1.234317518,1.639398315
JMFINANCIL,0,1235,1236 days,10000,8401.354716,-15.98645284,140.325156,100,0,44.06445618,279 days,5,4,1,624.1644298,25,9.075653755,-12.08674014,9.075653755,-10.65718223,190 days 00:00:00,84 days 08:00:00,0.244412099,-555.7024285,0.029081156,-0.113786902,1.006690729,0.043228455
JSWENERGY,0,1235,1236 days,10000,14607.80629,46.0780629,843.6261617,100,0,31.87228271,274 days,2,2,0,0,50,84.11262974,-20.65831491,84.11262974,-20.65831491,360 days 00:00:00,74 days 00:00:00,3.230485066,2303.903145,0.517316204,0.371531269,1.134002888,0.795766745
JSWINFRA,0,508,509 days,10000,7230.226307,-27.69773693,88.58529111,100,0,32.60848422,268 days,2,1,1,-643.7202162,0,-21.26053477,-21.26053477,,-21.26053477,,99 days 00:00:00,0,-2126.053477,-0.908898068,-0.636339534,0.795242985,-1.231429534
JSWSTEEL,0,1235,1236 days,10000,19440.89834,94.40898337,313.1949187,100,0,14.9501597,208 days,4,3,1,4534.067364,100,40.20608039,1.741063436,15.48285575,,160 days 16:00:00,,,1635.610324,1.061301883,1.450917894,1.232848494,1.667359868
JPPOWER,0,1235,1236 days,10000,18278.24515,82.78245154,695.1111111,100,0,50.72554397,486 days,5,4,1,-5251.547238,50,92.94797688,-9.304652326,70.03720683,-8.956961925,245 days 12:00:00,39 days 12:00:00,4.675945672,3382.448098,0.598506355,0.384331125,1.130574432,1.002164486
J&KBANK,0,1235,1236 days,10000,22054.68296,120.5468296,668.4593023,100,0,33.61105021,426 days,3,2,1,275.3185313,50,159.9646375,-16.22181912,159.9646375,-16.22181912,412 days 00:00:00,108 days 00:00:00,8.261432478,5889.682212,0.778568757,0.782783587,1.186153873,1.190661143
JINDALSAW,0,1235,1236 days,10000,56204.01715,462.0401715,529.75,100,0,35.69905245,273 days,1,1,0,0,100,462.0401715,462.0401715,462.0401715,,517 days 00:00:00,,,46204.01715,1.473552282,1.862769235,1.381294693,2.303458715
JSL,0,1235,1236 days,10000,30807.89879,208.0789879,1248.552722,100,0,48.50133135,363 days,3,2,1,4195.888605,50,254.6357786,-24.9596014,254.6357786,-24.9596014,489 days 00:00:00,186 days 00:00:00,7.655559085,8306.005093,1.033002893,0.812631935,1.217909763,1.522014087
JINDALSTEL,0,1235,1236 days,10000,11490.39893,14.90398929,468.8317211,100,0,48.97420184,515 days,3,2,1,999.0484212,50,65.64713289,-36.66446062,65.64713289,-36.66446062,478 days 00:00:00,63 days 00:00:00,1.134012747,245.675254,0.289015469,0.085512965,1.062569367,0.385971402
JIOFIN,0,537,538 days,10000,8725.74636,-12.7425364,24.66299143,100,0,20.69516566,268 days,2,1,1,-533.4591222,0,-7.407945174,-7.407945174,,-7.407945174,,52 days 00:00:00,0,-740.7945174,-0.66957741,-0.426809371,0.815758109,-0.969556694
JUBLFOOD,0,1235,1236 days,10000,5601.024014,-43.98975986,42.92539679,100,0,52.76219057,1000 days,4,4,0,0,0,-2.463781489,-27.96952938,,-12.96275703,,125 days 12:00:00,0,-1099.743996,-0.638579423,-0.298172425,0.870002626,-0.868946285
JUBLINGREA,0,1140,1141 days,10000,13624.70521,36.24705205,169.5652174,100,0,32.1882579,346 days,3,3,0,0,33.33333333,67.43577315,-17.35793358,67.43577315,-9.446941858,341 days 00:00:00,43 days 00:00:00,2.860419863,1208.235068,0.473746758,0.323110844,1.122160854,0.802428962
JUBLPHARMA,0,1235,1236 days,10000,18410.43555,84.10435552,117.4394867,100,0,37.95306292,246 days,3,2,1,-567.9184787,50,125.8291586,-15.96145447,125.8291586,-15.96145447,406 days 00:00:00,37 days 00:00:00,6.625022488,4489.177016,0.700164022,0.520378654,1.181884291,1.212898877
JWL,0,1235,1236 days,10000,118626.3583,1086.263583,2291.941392,100,0,41.38339322,328 days,1,1,0,0,100,1086.263583,1086.263583,1086.263583,,789 days 00:00:00,,,108626.3583,1.625382537,2.599919166,1.329075168,2.642088168
JYOTHYLAB,0,1235,1236 days,10000,19260.99053,92.60990534,158.3144979,100,0,35.93743427,435 days,4,4,0,0,50,100.8975503,-15.51340665,65.85819068,-14.38405729,234 days 12:00:00,92 days 00:00:00,3.060550195,2315.247634,0.770275437,0.594305242,1.179828063,1.372826277
JYOTICNC,0,441,442 days,10000,5871.889401,-41.28110599,100.4145555,100,0,46.80711745,216 days,2,2,0,0,0,-2.53068933,-39.75653094,,-21.14361014,,41 days 00:00:00,0,-2064.055299,-1.415786278,-0.760020615,0.616399005,-1.80286536
KPRMILL,0,1235,1236 days,10000,19173.08742,91.73087417,655.3501946,100,0,34.18759885,602 days,3,2,1,-208.2919349,100,46.77839542,32.04517801,39.41178672,,321 days 12:00:00,,,4690.689676,0.705115175,0.619931967,1.140650836,1.129844016
KEI,0,1235,1236 days,10000,56466.71711,464.6671711,1140.415384,100,0,22.97920089,343 days,3,2,1,-874.0041879,100,462.9915539,1.850056005,232.420805,,412 days 00:00:00,,,23670.36065,1.478083879,2.903866621,1.29965589,2.486539839
KPITTECH,0,1235,1236 days,10000,32662.09788,226.6209788,1222.831978,100,0,38.91884494,337 days,2,2,0,0,100,104.3664209,59.8212551,82.09383798,,373 days 00:00:00,,,11331.04894,1.067668932,1.075077062,1.223709923,1.706354904
KSB,0,1235,1236 days,10000,23136.59062,131.3659062,834.7979323,100,0,29.01283354,322 days,3,2,1,-1256.127579,50,177.4271252,-12.0752227,177.4271252,-12.0752227,614 days 00:00:00,129 days 00:00:00,12.91921553,7196.359098,0.89764606,0.968853946,1.179809782,1.463602066
KAJARIACER,0,1235,1236 days,10000,6699.589725,-33.00410275,127.3720787,100,0,46.70634482,934 days,5,4,1,-68.31148508,25,0.751716486,-14.52349572,0.751716486,-12.40463265,188 days 00:00:00,123 days 16:00:00,0.017137238,-808.0246974,-0.3575639,-0.238842506,0.930248971,-0.525009944
KPIL,0,581,582 days,10000,10850.90528,8.509052821,145.9093034,100,0,20.45423627,268 days,2,1,1,620.5920163,100,2.303132658,2.303132658,2.303132658,,169 days 00:00:00,,,230.3132658,0.324819193,0.256911083,1.077392528,0.470559187
KALYANKJIL,0,1135,1136 days,10000,46561.04775,365.6104775,587.6256871,100,0,44.51120163,205 days,2,2,0,0,100,239.2514736,37.24641267,138.2489431,,302 days 00:00:00,,,18280.52387,1.367522405,1.436090872,1.317303427,2.267903191
KARURVYSYA,0,1235,1236 days,10000,42687.27883,326.8727883,893.1090393,100,0,23.08652454,213 days,2,1,1,8251.712349,100,244.3556648,244.3556648,244.3556648,,647 days 00:00:00,,,24435.56648,1.483943563,2.317728185,1.320732452,2.489076635
KAYNES,0,726,727 days,10000,18702.40496,87.02404959,885.5786651,100,0,47.98718008,206 days,2,1,1,2572.955859,100,61.294491,61.294491,61.294491,,353 days 00:00:00,,,6129.4491,0.912922255,0.769653597,1.196437069,1.387928115
KEC,0,1235,1236 days,10000,15027.47567,50.27475673,159.1317742,100,0,44.65853223,420 days,3,3,0,0,33.33333333,61.11242324,-4.331436174,61.11242324,-3.417611309,567 days 00:00:00,78 days 12:00:00,8.473830159,1675.825224,0.514051168,0.286192872,1.101411742,0.801620881
KFINTECH,0,699,700 days,10000,21216.59914,112.1659914,209.421782,100,0,49.64182068,210 days,2,2,0,0,50,143.7392528,-12.953704,143.7392528,-12.953704,352 days 00:00:00,60 days 00:00:00,4.55256273,5608.299572,1.07567801,0.967450943,1.229093706,1.662093861
KIRLOSBROS,0,1235,1236 days,10000,40576.09998,305.7609998,1763.076622,100,0,46.58046927,371 days,3,2,1,-8912.140303,100,378.4111969,3.442897252,190.9270471,,336 days 00:00:00,,,19744.12014,1.097664846,1.099733413,1.22994108,1.787648087
KIRLOSENG,0,1235,1236 days,10000,48198.95091,381.9895091,968.6429097,100,0,28.18354196,332 days,3,2,1,2621.878797,50,427.3213153,-13.56868994,427.3213153,-13.56868994,561 days 00:00:00,33 days 00:00:00,27.21997575,17788.53605,1.418002833,2.097435218,1.333346414,2.406060752
KOTAKBANK,0,1235,1236 days,10000,6452.384205,-35.47615795,35.7710975,100,0,40.48825986,992 days,5,5,0,0,20,1.231648338,-15.22784413,1.231648338,-10.59895061,152 days 00:00:00,70 days 00:00:00,0.021649532,-709.5231589,-0.747389374,-0.299751234,0.834333749,-0.97842471
KIMS,0,1074,1075 days,10000,15148.6633,51.48663303,265.2891319,100,0,23.06702981,260 days,3,2,1,4264.129815,50,24.78749657,-12.77544796,24.78749657,-12.77544796,381 days 00:00:00,15 days 00:00:00,1.692369842,442.2667443,0.666466066,0.656545122,1.120662038,1.018931776
LTF,0,1235,1236 days,10000,24953.35076,149.5335076,362.038634,100,0,26.20523784,302 days,2,1,1,7873.77931,100,70.79571446,70.79571446,70.79571446,,481 days 00:00:00,,,7079.571446,1.164021079,1.183013535,1.263142523,1.732204509
LTTS,0,1235,1236 days,10000,10247.63446,2.476344649,167.4736431,100,0,35.07113333,503 days,5,5,0,0,20,30.00618433,-14.26124159,30.00618433,-5.623898181,237 days 00:00:00,81 days 18:00:00,1.096119937,49.52689299,0.15219236,0.020672005,1.032521411,0.210244481
LICHSGFIN,0,1235,1236 days,10000,14607.89211,46.07892111,108.9636983,100,0,27.06533273,332 days,3,3,0,0,33.33333333,59.43091293,-5.768734036,59.43091293,-4.267160829,307 days 00:00:00,80 days 00:00:00,5.643376555,1535.964037,0.60314429,0.437524408,1.162329084,0.86016683
LTFOODS,0,490,491 days,10000,7927.968085,-20.72031915,160.2795283,100,0,27.8851598,222 days,2,1,1,-263.7904759,0,-18.08241439,-18.08241439,,-18.08241439,,140 days 00:00:00,0,-1808.241439,-0.28544483,-0.568508579,0.943419245,-0.405244254
LTIM,0,1235,1236 days,10000,6074.073411,-39.25926589,111.965901,100,0,51.46074458,944 days,5,4,1,123.5811216,25,0.857485742,-23.59698173,0.857485742,-15.48402443,203 days 00:00:00,102 days 00:00:00,0.016088478,-1012.376928,-0.457048267,-0.266032166,0.898071647,-0.624268025
LT,0,1235,1236 days,10000,16594.49324,65.94493241,360.9293723,100,0,21.01844439,358 days,3,2,1,1341.708996,50,65.6367046,-7.914225398,65.6367046,-7.914225398,565 days 00:00:00,128 days 00:00:00,7.637142589,2626.392123,0.780917871,0.767581241,1.154915834,1.11164365
LATENTVIEW,0,974,975 days,10000,11485.79531,14.85795308,-13.41176471,100,0,19.19521428,322 days,2,1,1,-55.63771357,100,15.41433022,15.41433022,15.41433022,,281 days 00:00:00,,,1541.433022,0.338298622,0.277291223,1.096353991,0.541293736
LAURUSLABS,0,1235,1236 days,10000,18443.55926,84.43559264,228.7836142,100,0,32.4975813,785 days,3,2,1,10899.30557,0,-6.857142857,-19.00341127,,-12.93027706,,29 days 12:00:00,0,-1227.873153,0.766268213,0.609693007,1.173195134,1.093535025
THELEELA,0,104,105 days,10000,10000,0,0.160716336,0,0,,,0,0,0,0,,,,,,,,,,,,,
LEMONTREE,0,1235,1236 days,10000,26320.60925,163.2060925,519.558011,100,0,32.30195475,370 days,5,4,1,4518.989329,75,66.07929515,-8.207343413,35.86178048,-8.207343413,233 days 00:00:00,28 days 00:00:00,7.054219926,2950.40498,0.910884273,1.024121983,1.175635073,1.414511947
LICI,0,855,856 days,10000,13930.29338,39.30293382,5.989292228,100,0,27.4826777,312 days,2,1,1,-188.6756361,100,41.18969018,41.18969018,41.18969018,,299 days 00:00:00,,,4118.969018,0.662512219,0.55242369,1.180454405,1.02804735
LINDEINDIA,0,1235,1236 days,10000,26087.78421,160.8778421,635.956762,100,0,36.45466145,360 days,3,3,0,0,66.66666667,89.11887459,-9.231618876,70.54616338,-9.231618876,376 days 00:00:00,58 days 00:00:00,7.063393615,5362.594736,0.928458948,0.89789387,1.190838258,1.600495248
LLOYDSME,0,565,566 days,10000,21038.07329,110.3807329,134.7991604,100,0,33.04569334,96 days,1,1,0,0,100,110.3807329,110.3807329,110.3807329,,342 days 00:00:00,,,11038.07329,1.428655934,1.862481743,1.305916732,2.292086381
LODHA,0,1122,1123 days,10000,13799.31727,37.99317265,406.7924202,100,0,43.52102833,338 days,4,4,0,0,50,67.91561469,-20.0719731,36.07820868,-10.71864232,177 days 12:00:00,48 days 12:00:00,2.054811288,949.8293163,0.486109088,0.253537593,1.11300552,0.708839824
