,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
112,112,KALYANKJIL.NS,35.78534593650224,2023-10-31,287.2138977050781,0.0,2024-01-31,348.3973083496094,0.0,2189.4695154896235,0.21302385132963386,Long,Closed,112
113,113,KARURVYSYA.NS,152.72957268765688,2022-09-30,65.47520446777344,0.0,2023-03-31,83.8725357055664,0.0,2809.8165385414013,0.28098165385414015,Long,Closed,113
114,114,KAYNES.NS,6.98958575612523,2023-05-31,1430.699951171875,0.0,2023-08-31,2014.25,0.0,4078.7731092752438,0.4078773109275244,Long,Closed,114
115,115,KAYNES.NS,2.5879860690143057,2024-10-31,5440.0498046875,0.0,2025-01-31,4792.35009765625,0.0,-1676.2378187015238,-0.11906135610617949,Long,Closed,115
116,116,KFINTECH.NS,6.548675919602532,2024-12-31,1527.0262451171875,0.0,2025-01-31,1082.9991455078125,0.0,-2907.78957486287,-0.29077895748628696,Long,Closed,116
117,117,KIRLOSBROS.NS,25.67516203097364,2021-05-31,389.4814758300781,0.0,2021-09-30,386.044677734375,0.0,-88.24034797491913,-0.008824034797491912,Long,Closed,117
118,118,KIRLOSBROS.NS,13.073412549854522,2023-07-31,758.16162109375,0.0,2023-09-29,833.8933715820312,0.0,990.0724172559476,0.09988866276167875,Long,Closed,118
119,119,KIRLOSBROS.NS,5.169661101993774,2024-06-28,2108.809814453125,0.0,2024-09-30,1847.4407958984373,0.0,-1351.1892484884593,-0.1239414843213201,Long,Closed,119
120,120,KIRLOSENG.NS,42.29441250514434,2022-09-30,236.43785095214844,0.0,2023-04-28,386.1617431640625,0.0,6332.484059086461,0.6332484059086461,Long,Closed,120
121,121,KPITTECH.NS,16.646160379821815,2021-12-31,600.7391357421875,0.0,2022-05-31,520.8086547851562,0.0,-1330.5356052470343,-0.13305356052470343,Long,Closed,121
122,122,KPRMILL.NS,15.210153371522107,2021-12-31,657.45556640625,0.0,2022-03-31,611.532958984375,0.0,-698.4899021069177,-0.06984899021069177,Long,Closed,122
123,123,LAURUSLABS.NS,16.338303399222713,2025-03-28,612.0586547851562,0.0,2025-05-30,609.097412109375,0.0,-48.38168127564131,-0.0048381681275641315,Long,Closed,123
124,124,LAURUSLABS.NS,11.391125181129551,2025-07-31,873.6290893554688,0.0,2025-09-30,841.10595703125,0.0,-370.4750715876162,-0.03722762064643827,Long,Closed,124
125,125,LLOYDSME.NS,8.076404840440231,2025-01-31,1238.1746826171875,0.0,2025-04-30,1202.301513671875,0.0,-289.72623531185127,-0.028972623531185127,Long,Closed,125
126,126,LODHA.NS,14.196809686411155,2021-11-30,704.3836059570312,0.0,2021-12-31,612.8455200195312,0.0,-1299.5487851130365,-0.12995487851130366,Long,Closed,126
127,127,LTF.NS,40.11553293071709,2025-09-30,249.2799987792969,0.0,2025-10-30,267.8900146484375,0.0,746.5507044396782,0.07465507044396781,Long,Open,127
128,128,MAHSCOOTER.NS,0.6285539925117367,2025-07-31,15909.5322265625,0.0,2025-09-30,17248.0,0.0,841.2992628424345,0.08412992628424344,Long,Closed,128
